Kms_Driven,new_Selling_Price,new_Original_Price,car_age,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
12000.0,1425000.0,2091000.0,8,0,0,1,0,1
71000.0,395000.0,676000.0,10,0,1,0,0,1
45000.0,450000.0,1248000.0,13,0,1,0,0,1
56001.0,745000.0,1861000.0,11,0,0,1,0,1
43000.0,265000.0,571000.0,13,0,0,1,0,1
83000.0,490000.00000000006,893000.0,10,0,1,0,0,1
36000.0,395000.0,680000.0,9,0,0,1,0,1
72000.0,550000.0,1468000.0,11,0,0,1,0,1
135154.0,150000.0,1235000.0,20,0,0,1,1,0
80000.0,525000.0,2283000.0,14,0,0,1,1,0
89000.0,1450000.0,3061000.0,12,0,1,0,1,0
23000.0,1473000.0,1489000.0,8,0,1,0,0,1
40000.0,475000.0,785000.0,9,0,1,0,0,1
15000.0,2300000.0,2539000.0,7,0,1,0,1,0
38000.0,1250000.0,1346000.0,9,0,1,0,0,1
197176.0,349000.0,1346000.0,19,0,1,0,0,1
142000.0,250000.0,2373000.0,18,0,0,1,1,0
78000.0,3500000.0,9260000.0,14,0,1,0,0,1
56000.0,590000.0,1374000.0,12,0,0,1,0,1
47000.0,345000.0,605000.0,11,0,0,1,0,1
40000.0,475000.0,676000.0,10,0,0,1,0,1
62000.0,380000.0,1861000.0,15,0,0,1,0,1
58242.0,1125000.0,1609000.0,10,0,1,0,0,1
75000.0,351000.0,1370000.0,19,0,0,1,0,1
40000.0,2300000.0,3061000.0,9,0,1,0,1,0
89000.0,400000.0,2278000.0,16,0,0,1,1,0
72000.0,585000.0,1861000.0,12,0,0,1,0,1
29000.0,2075000.0,2539000.0,8,0,1,0,1,0
8700.0,1700000.0,1864000.0,7,0,0,1,0,1
45000.0,705000.0,1861000.0,11,0,0,1,0,1
50024.0,965000.0,2045000.0,14,0,1,0,0,1
58000.0,325000.0,679000.0,14,0,1,0,0,1
28200.0,440000.00000000006,570000.0,9,0,0,1,0,1
53460.0,295000.0,459999.99999999994,13,0,0,1,0,1
28282.0,275000.0,443000.0,9,0,0,1,0,1
3493.0,525000.0,570000.0,8,0,0,1,0,1
12479.0,575000.0,713000.0,7,0,0,1,0,1
34797.0,515000.00000000006,570000.0,9,0,0,1,1,0
3435.0,790000.0,810000.0,7,0,0,1,0,1
21125.0,484999.99999999994,570000.0,9,0,1,0,0,1
35775.0,310000.0,459999.99999999994,12,0,0,1,0,1
43535.0,1175000.0,1479000.0,9,0,1,0,0,1
22671.0,1125000.0,1360000.0,8,0,0,1,0,1
31604.0,290000.0,679000.0,13,0,0,1,0,1
20114.0,525000.0,570000.0,7,0,0,1,0,1
36100.0,450000.0,940000.0,12,0,0,1,0,1
12500.0,290000.0,443000.0,8,0,0,1,0,1
15000.0,315000.0,443000.0,8,0,0,1,0,1
45078.0,645000.0,940000.0,10,0,0,1,0,1
36000.0,450000.0,940000.0,12,0,0,1,0,1
38488.0,350000.0,443000.0,7,0,0,1,0,1
32000.0,450000.0,679000.0,11,0,0,1,1,0
77632.0,600000.0,760000.0,10,0,1,0,0,1
61381.0,825000.0,940000.0,9,0,1,0,0,1
36198.0,511000.00000000006,940000.0,11,0,0,1,1,0
22517.0,270000.0,459999.99999999994,13,0,0,1,0,1
24678.0,525000.0,570000.0,9,0,0,1,0,1
57000.0,254999.99999999997,443000.0,13,0,0,1,0,1
60000.0,495000.0,940000.0,12,0,1,0,0,1
52132.0,310000.0,679000.0,12,0,1,0,0,1
45000.0,615000.0,940000.0,11,0,1,0,0,1
15001.0,925000.0,940000.0,7,0,0,1,0,1
12900.0,1145000.0,1479000.0,9,0,0,1,1,0
53000.0,390000.0,570000.0,11,0,1,0,0,1
4492.0,550000.0,570000.0,9,0,0,1,0,1
15141.0,910000.0,940000.0,7,0,0,1,0,1
11849.0,310000.0,443000.0,8,0,0,1,0,1
68000.0,1125000.0,1360000.0,9,0,1,0,0,1
60241.0,480000.0,940000.0,11,0,0,1,0,1
23709.0,200000.0,443000.0,12,0,0,1,0,1
32322.0,535000.0,940000.0,12,0,1,0,0,1
35866.0,475000.0,713000.0,9,0,0,1,0,1
34000.0,440000.00000000006,713000.0,10,0,0,1,0,1
7000.0,625000.0,760000.0,8,0,0,1,0,1
49000.0,595000.0,940000.0,11,0,1,0,0,1
71000.0,520000.0,940000.0,12,0,1,0,0,1
35000.0,375000.0,679000.0,12,0,0,1,0,1
36000.0,595000.0,940000.0,9,0,0,1,0,1
30000.0,400000.0,459999.99999999994,11,0,0,1,0,1
17000.0,525000.0,760000.0,8,0,0,1,0,1
35934.0,1290000.0,1360000.0,8,0,1,0,0,1
56701.0,500000.0,990000.0,11,0,0,1,0,1
31427.0,540000.0,682000.0,9,0,0,1,1,0
48000.0,720000.0,990000.0,10,0,1,0,0,1
54242.0,525000.0,990000.0,11,0,0,1,0,1
53675.0,300000.0,535000.0,12,0,0,1,0,1
49562.0,1025000.0,1360000.0,8,0,0,1,0,1
40324.0,850000.0,1360000.0,9,0,0,1,0,1
25000.0,840000.0,1360000.0,9,0,0,1,0,1
36054.0,390000.0,700000.0,10,0,0,1,0,1
29223.0,915000.0,1360000.0,8,0,0,1,0,1
5600.0,550000.0,597000.0,8,0,0,1,0,1
40023.0,400000.0,580000.0,9,0,0,1,0,1
16002.0,660000.0,770000.0,8,0,0,1,0,1
40026.0,400000.0,700000.0,9,0,0,1,0,1
21200.0,650000.0,869999.9999999999,7,0,0,1,0,1
35000.0,365000.0,700000.0,10,0,0,1,0,1
19434.0,835000.0,940000.0,8,0,1,0,0,1
19000.0,480000.0,580000.0,7,0,0,1,0,1
18828.0,670000.0,1000000.0,9,0,0,1,0,1
69341.0,409999.99999999994,1000000.0,13,0,0,1,0,1
69562.0,300000.0,1000000.0,15,0,0,1,0,1
27600.0,750000.0,1000000.0,9,0,0,1,0,1
61203.0,225000.0,750000.0,14,0,0,1,0,1
16500.0,530000.0,680000.0,10,0,0,1,0,1
30753.0,1090000.0,1360000.0,8,0,0,1,1,0
24800.0,865000.0,1360000.0,9,0,0,1,0,1
21780.0,969999.9999999999,1360000.0,9,0,0,1,0,1
4000.0,600000.0,840000.0,8,0,0,1,0,1
40126.0,625000.0,1360000.0,10,0,0,1,0,1
14465.0,525000.0,590000.0,9,0,0,1,0,1
50456.0,210000.0,760000.0,18,0,0,1,0,1
63000.0,825000.0,1400000.0,10,0,1,0,0,1
9010.0,899000.0,1180000.0,8,0,0,1,0,1
9800.0,350000.0,590000.0,11,0,0,1,0,1
15059.0,740000.0,850000.0,8,0,0,1,1,0
28569.0,565000.0,790000.0,8,0,0,1,0,1
44000.0,575000.0,750000.0,9,0,0,1,1,0
34000.0,840000.0,1360000.0,9,0,0,1,0,1
10980.0,1011000.0,1360000.0,8,0,0,1,0,1
19000.0,450000.0,640000.0,10,0,0,1,0,1
31427.0,540000.0,610000.0,9,0,0,1,0,1
12000.0,640000.0,840000.0,8,0,0,1,0,1
38000.0,325000.0,990000.0,14,0,0,1,0,1
33019.0,375000.0,680000.0,10,0,0,1,0,1
60076.0,855000.0000000001,1309000.0,9,0,1,0,0,1
33988.0,950000.0,1160000.0,8,0,1,0,0,1
60000.0,400000.0,590000.0,9,0,0,1,0,1
87934.0,335000.0,1100000.0,15,0,0,1,0,1
9000.0,1150000.0,1250000.0,7,0,1,0,0,1
5464.0,530000.0,590000.0,8,0,0,1,0,1
